Time,QUIC-BBR Cwnd,QUIC-BBR RTT,QUIC-BBR Throughput,QUIC-BBR Packet Loss,TCP-CUBIC Cwnd,TCP-CUBIC RTT,TCP-CUBIC Throughput,TCP-CUBIC Packet Loss
1.0,0.0,0.0,0.0,,,,0.0,0.0
3.1072900000000003,54.0,129.51,5.6077900000000005,65.9913,37.0,41.0,0.396,90.4624
3.3,54.0,129.51,5.6077900000000005,65.9913,41.0,96.0,0.48,80.5508
3.4956199999999997,54.0,129.51,5.6077900000000005,65.9913,45.0,105.0,0.46799999999999997,78.2235
3.6872599999999998,54.0,129.51,5.6077900000000005,65.9913,48.0,115.0,0.48,74.946
3.8789,54.0,129.51,5.6077900000000005,65.9913,52.0,125.0,0.48,73.2127
4.07054,31.0,70.2128,4.68315,56.5139,56.0,134.0,0.46799999999999997,72.043
4.2623,31.0,70.2128,4.68315,56.5139,60.0,143.0,0.46799999999999997,71.1207
4.42406,31.0,70.2128,4.68315,56.5139,56.0,150.0,0.396,70.5435
4.56237,31.0,70.2128,4.68315,56.5139,43.0,150.0,0.0,70.5914
4.79715,31.0,70.2128,4.68315,56.5139,46.0,132.0,0.25292800000000004,72.7104
4.98879,31.0,70.2128,4.68315,56.5139,49.0,119.0,0.48,72.0453
5.18044,41.0,98.5728,4.68375,50.8787,51.0,125.0,0.46799999999999997,71.5267
5.37208,41.0,98.5728,4.68375,50.8787,53.0,130.0,0.48,71.0074
5.56372,41.0,98.5728,4.68375,50.8787,55.0,135.0,0.48,70.6455
5.75536,41.0,98.5728,4.68375,50.8787,56.0,140.0,0.46799999999999997,70.3346
5.94712,41.0,98.5728,4.68375,50.8787,58.0,144.0,0.48,69.9944
6.1386400000000005,49.0,117.102,4.68321,47.2071,59.0,146.0,0.48,69.7619
6.31818,49.0,117.102,4.68321,47.2071,56.0,151.0,0.444,69.5934
6.416519999999999,49.0,117.102,4.68321,47.2071,43.0,151.0,0.0,69.5934
6.66413,49.0,117.102,4.68321,47.2071,44.0,145.0,0.30393600000000004,70.6741
6.85577,49.0,117.102,4.68321,47.2071,46.0,115.0,0.48,70.4136
7.04741,57.0,138.04,4.68353,44.6374,47.0,115.0,0.46799999999999997,70.2092
7.23905,57.0,138.04,4.68353,44.6374,48.0,121.0,0.48,70.01
7.430689999999999,57.0,138.04,4.68353,44.6374,49.0,121.0,0.48,69.8074
7.6223399999999994,57.0,138.04,4.68353,44.6374,50.0,126.0,0.46799999999999997,69.6549
7.81398,57.0,138.04,4.68353,44.6374,50.0,126.0,0.48,69.5028
8.00562,35.0,78.7808,4.6831,42.8527,51.0,126.0,0.48,69.3434
8.2,35.0,78.7808,4.6831,42.8527,51.0,131.0,0.46799999999999997,69.2308
8.39395,35.0,78.7808,4.6831,42.8527,51.0,131.0,0.48,69.1672
8.58559,35.0,78.7808,4.6831,42.8527,51.0,131.0,0.46799999999999997,69.0622
8.77723,35.0,78.7808,4.6831,42.8527,51.0,131.0,0.48,68.9267
8.968869999999999,35.0,78.7808,4.6831,42.8527,51.0,131.0,0.48,68.8367
9.16051,44.0,104.71700000000001,4.68311,41.4793,51.0,131.0,0.48,68.7526
9.35215,44.0,104.71700000000001,4.68311,41.4793,51.0,131.0,0.46799999999999997,68.6527
9.5438,44.0,104.71700000000001,4.68311,41.4793,51.0,131.0,0.48,68.5662
9.735439999999999,44.0,104.71700000000001,4.68311,41.4793,51.0,131.0,0.48,68.4776
9.92708,44.0,104.71700000000001,4.68311,41.4793,51.0,131.0,0.46799999999999997,68.4133
10.1187,52.0,126.742,4.68297,40.3944,51.0,131.0,0.48,68.3445
10.3104,52.0,126.742,4.68297,40.3944,51.0,131.0,0.48,68.2652
10.502,52.0,126.742,4.68297,40.3944,51.0,131.0,0.46799999999999997,68.2152
10.6987,52.0,126.742,4.68297,40.3944,52.0,131.0,0.48,68.1838
10.8903,52.0,126.742,4.68297,40.3944,52.0,131.0,0.46799999999999997,68.1344
11.082,59.0,140.58700000000002,4.68314,39.4239,53.0,131.0,0.48,68.0598
11.2736,59.0,140.58700000000002,4.68314,39.4239,54.0,136.0,0.48,68.0157
11.4653,59.0,140.58700000000002,4.68314,39.4239,55.0,136.0,0.46799999999999997,67.9737
11.6569,59.0,140.58700000000002,4.68314,39.4239,56.0,140.0,0.48,67.9079
11.8485,59.0,140.58700000000002,4.68314,39.4239,57.0,141.0,0.48,67.8702
12.0452,34.0,76.4704,4.68297,38.9812,59.0,146.0,0.46799999999999997,67.8373
12.2376,34.0,76.4704,4.68297,38.9812,59.0,151.0,0.46799999999999997,67.7849
12.3357,34.0,76.4704,4.68297,38.9812,46.0,151.0,0.12,67.7966
12.5732,34.0,76.4704,4.68297,38.9812,45.0,142.0,0.277312,68.2819
12.7643,34.0,76.4704,4.68297,38.9812,48.0,116.0,0.48,68.2338
12.956,34.0,76.4704,4.68297,38.9812,50.0,123.0,0.48,68.1771
13.1476,44.0,103.565,4.68326,38.3848,52.0,129.0,0.46799999999999997,68.1387
13.3393,44.0,103.565,4.68326,38.3848,54.0,134.0,0.48,68.0962
13.5309,44.0,103.565,4.68326,38.3848,55.0,136.0,0.48,68.0453
13.7226,44.0,103.565,4.68326,38.3848,57.0,141.0,0.46799999999999997,68.0141
13.9143,44.0,103.565,4.68326,38.3848,58.0,146.0,0.46799999999999997,67.9815
14.1061,51.0,122.094,4.68315,37.8557,59.0,146.0,0.48,67.9301
14.3,51.0,122.094,4.68315,37.8557,60.0,150.0,0.48,67.9001
14.4946,51.0,122.094,4.68315,37.8557,60.0,151.0,0.48,67.8818
14.6179,51.0,122.094,4.68315,37.8557,49.0,151.0,0.18,67.872
14.8225,51.0,122.094,4.68315,37.8557,44.0,125.0,0.28944000000000003,68.2592
15.0141,58.0,138.018,4.68349,37.3862,45.0,112.0,0.48,68.2182
15.2057,58.0,138.018,4.68349,37.3862,47.0,115.0,0.48,68.1722
15.4,58.0,138.018,4.68349,37.3862,48.0,120.0,0.46799999999999997,68.1431
15.5941,58.0,138.018,4.68349,37.3862,49.0,121.0,0.48,68.1244
15.7908,58.0,138.018,4.68349,37.3862,49.0,125.0,0.46799999999999997,68.0946
15.9824,58.0,138.018,4.68349,37.3862,50.0,126.0,0.46799999999999997,68.0551
16.174,38.0,89.944,4.68318,37.0921,51.0,126.0,0.48,68.0207
16.3657,38.0,89.944,4.68318,37.0921,51.0,130.0,0.48,67.9835
16.5573,38.0,89.944,4.68318,37.0921,51.0,131.0,0.46799999999999997,67.9575
16.749000000000002,38.0,89.944,4.68318,37.0921,51.0,131.0,0.48,67.9261
16.9406,38.0,89.944,4.68318,37.0921,51.0,131.0,0.48,67.8918
17.1322,47.0,113.309,4.68372,36.7778,51.0,131.0,0.46799999999999997,67.8682
17.3239,47.0,113.309,4.68372,36.7778,51.0,131.0,0.48,67.8413
17.5155,47.0,113.309,4.68372,36.7778,51.0,131.0,0.48,67.8077
17.7072,47.0,113.309,4.68372,36.7778,51.0,131.0,0.46799999999999997,67.7881
17.9,47.0,113.309,4.68372,36.7778,51.0,131.0,0.48,67.7615
18.0955,54.0,128.035,4.68306,36.4223,51.0,131.0,0.46799999999999997,67.7541
18.2871,54.0,128.035,4.68306,36.4223,51.0,131.0,0.48,67.7193
18.4788,54.0,128.035,4.68306,36.4223,51.0,131.0,0.48,67.7
18.6704,54.0,128.035,4.68306,36.4223,51.0,131.0,0.46799999999999997,67.6812
18.8621,54.0,128.035,4.68306,36.4223,51.0,131.0,0.48,67.6487
19.0537,30.0,146.506,4.35259,36.1594,52.0,131.0,0.48,67.631
19.2504,30.0,146.506,4.35259,36.1594,53.0,131.0,0.46799999999999997,67.6154
19.442,30.0,146.506,4.35259,36.1594,53.0,135.0,0.46799999999999997,67.5884
19.6337,30.0,146.506,4.35259,36.1594,54.0,136.0,0.48,67.5685
19.8253,30.0,146.506,4.35259,36.1594,55.0,138.0,0.48,67.5427
20.017,40.0,96.176,5.00178,35.9511,57.0,141.0,0.46799999999999997,67.5289
20.2087,40.0,96.176,5.00178,35.9511,58.0,145.0,0.48,67.5089
20.4006,40.0,96.176,5.00178,35.9511,60.0,148.0,0.48,67.4846
20.5393,40.0,96.176,5.00178,35.9511,52.0,151.0,0.336,67.4876
20.7,40.0,96.176,5.00178,35.9511,44.0,134.0,1.0456,67.7701
20.9303,40.0,96.176,5.00178,35.9511,47.0,118.0,0.48,67.7377
21.1219,49.0,118.302,4.68331,35.7294,49.0,120.0,0.46799999999999997,67.7211
21.3136,49.0,118.302,4.68331,35.7294,51.0,125.0,0.48,67.7016
21.5052,49.0,118.302,4.68331,35.7294,53.0,131.0,0.48,67.6766
21.7,49.0,118.302,4.68331,35.7294,55.0,135.0,0.46799999999999997,67.6626
21.8935,49.0,118.302,4.68331,35.7294,56.0,140.0,0.48,67.6527
22.0853,56.0,132.846,4.6832400000000005,35.5198,57.0,143.0,0.46799999999999997,67.6377
22.2768,56.0,132.846,4.6832400000000005,35.5198,58.0,146.0,0.48,67.6113
22.4686,56.0,132.846,4.6832400000000005,35.5198,59.0,149.0,0.48,67.5971
22.6602,56.0,132.846,4.6832400000000005,35.5198,60.0,151.0,0.46799999999999997,67.5831
22.8244,56.0,132.846,4.6832400000000005,35.5198,54.0,151.0,0.396,67.5716
22.9578,56.0,132.846,4.6832400000000005,35.5198,42.0,149.0,0.0,67.5716
23.1851,34.0,76.3152,4.68334,35.5714,45.0,125.0,0.28944000000000003,67.8023
23.3767,34.0,76.3152,4.68334,35.5714,46.0,115.0,0.48,67.7743
23.5684,34.0,76.3152,4.68334,35.5714,47.0,117.0,0.48,67.7605
23.76,34.0,76.3152,4.68334,35.5714,48.0,120.0,0.46799999999999997,67.7457
23.9516,34.0,76.3152,4.68334,35.5714,49.0,123.0,0.48,67.7204
24.1433,44.0,103.557,4.683330000000001,35.4148,50.0,126.0,0.48,67.7062
24.3349,44.0,103.557,4.683330000000001,35.4148,50.0,126.0,0.46799999999999997,67.6923
24.5266,44.0,103.557,4.683330000000001,35.4148,51.0,126.0,0.48,67.6682
24.7182,44.0,103.557,4.683330000000001,35.4148,51.0,131.0,0.48,67.6549
24.9098,44.0,103.557,4.683330000000001,35.4148,51.0,131.0,0.46799999999999997,67.6431
25.1015,52.0,122.13799999999999,4.68299,35.2286,51.0,131.0,0.48,67.6188
25.2982,52.0,122.13799999999999,4.68299,35.2286,51.0,131.0,0.46799999999999997,67.6145
25.4898,52.0,122.13799999999999,4.68299,35.2286,51.0,131.0,0.48,67.5995
25.6815,52.0,122.13799999999999,4.68299,35.2286,51.0,131.0,0.48,67.5799
25.8731,52.0,122.13799999999999,4.68299,35.2286,51.0,131.0,0.46799999999999997,67.5693
26.0647,58.0,139.338,4.683680000000001,35.0687,51.0,131.0,0.46799999999999997,67.5576
26.2614,58.0,139.338,4.683680000000001,35.0687,51.0,131.0,0.48,67.5364
26.4531,58.0,139.338,4.683680000000001,35.0687,51.0,131.0,0.48,67.5252
26.6447,58.0,139.338,4.683680000000001,35.0687,51.0,131.0,0.46799999999999997,67.5142
26.8363,58.0,139.338,4.683680000000001,35.0687,51.0,131.0,0.48,67.4939
27.028000000000002,37.0,86.1456,4.6830300000000005,34.9026,51.0,131.0,0.48,67.4834
27.2196,37.0,86.1456,4.6830300000000005,34.9026,52.0,131.0,0.46799999999999997,67.4742
27.4113,37.0,86.1456,4.6830300000000005,34.9026,52.0,131.0,0.48,67.4535
27.6029,37.0,86.1456,4.6830300000000005,34.9026,53.0,131.0,0.48,67.4447
27.7996,37.0,86.1456,4.6830300000000005,34.9026,54.0,136.0,0.48,67.438
27.9912,37.0,86.1456,4.6830300000000005,34.9026,55.0,136.0,0.48,67.4216
28.1829,46.0,110.902,4.6837,34.7914,56.0,140.0,0.46799999999999997,67.4132
28.3746,46.0,110.902,4.6837,34.7914,58.0,141.0,0.48,67.4004
28.5662,46.0,110.902,4.6837,34.7914,59.0,146.0,0.48,67.3846
28.7432,46.0,110.902,4.6837,34.7914,57.0,151.0,0.46799999999999997,67.3767
28.8415,46.0,110.902,4.6837,34.7914,43.0,151.0,0.084,67.3784
29.0911,53.0,128.03,4.68358,34.688,46.0,145.0,0.2896,67.5612
29.2828,53.0,128.03,4.68358,34.688,48.0,118.0,0.46799999999999997,67.551
29.4744,53.0,128.03,4.68358,34.688,51.0,124.0,0.48,67.5388
29.6661,53.0,128.03,4.68358,34.688,52.0,130.0,0.48,67.5226
29.8577,53.0,128.03,4.68358,34.688,54.0,134.0,0.46799999999999997,67.5139
30.0494,29.0,140.429,4.68313,34.5905,56.0,137.0,0.48,67.5012
30.241,29.0,140.429,4.68313,34.5905,57.0,141.0,0.48,67.4867
30.4328,29.0,140.429,4.68313,34.5905,58.0,145.0,0.46799999999999997,67.4775
30.6245,29.0,140.429,4.68313,34.5905,59.0,146.0,0.46799999999999997,67.4684
30.8211,29.0,140.429,4.68313,34.5905,60.0,151.0,0.48,67.4513
31.0133,40.0,96.176,4.68318,34.52,60.0,151.0,0.48,67.4426
31.1262,40.0,96.176,4.68318,34.52,47.0,151.0,0.14400000000000002,67.4467
31.3463,40.0,96.176,4.68318,34.52,44.0,134.0,0.30144,67.6085
31.5376,40.0,96.176,4.68318,34.52,45.0,113.0,0.46799999999999997,67.5998
31.7292,40.0,96.176,4.68318,34.52,47.0,115.0,0.48,67.5872
31.9209,40.0,96.176,4.68318,34.52,48.0,120.0,0.48,67.5729
32.1125,49.0,117.133,4.68321,34.4051,49.0,121.0,0.46799999999999997,67.5636
32.3042,49.0,117.133,4.68321,34.4051,50.0,126.0,0.48,67.5515
32.5008,49.0,117.133,4.68321,34.4051,50.0,126.0,0.48,67.5378
32.6975,49.0,117.133,4.68321,34.4051,51.0,126.0,0.46799999999999997,67.5348
32.8892,49.0,117.133,4.68321,34.4051,51.0,130.0,0.48,67.5231
33.0808,56.0,134.238,4.68286,34.281,51.0,131.0,0.48,67.5098
33.2725,56.0,134.238,4.68286,34.281,51.0,131.0,0.46799999999999997,67.5013
33.4641,56.0,134.238,4.68286,34.281,51.0,131.0,0.48,67.491
33.6557,56.0,134.238,4.68286,34.281,51.0,131.0,0.48,67.4772
33.8474,56.0,134.238,4.68286,34.281,51.0,131.0,0.46799999999999997,67.47
34.039,31.0,71.352,4.68296,34.3402,51.0,131.0,0.48,67.4592
34.2307,31.0,71.352,4.68296,34.3402,51.0,131.0,0.48,67.4468
34.4223,31.0,71.352,4.68296,34.3402,51.0,131.0,0.46799999999999997,67.439
34.6139,31.0,71.352,4.68296,34.3402,52.0,131.0,0.48,67.4286
34.8056,31.0,71.352,4.68296,34.3402,52.0,131.0,0.48,67.4166
35.0,42.0,96.1248,4.68344,34.2697,52.0,131.0,0.46799999999999997,67.4091
35.1939,42.0,96.1248,4.68344,34.2697,52.0,131.0,0.48,67.4041
35.3856,42.0,96.1248,4.68344,34.2697,52.0,131.0,0.46799999999999997,67.3977
35.5772,42.0,96.1248,4.68344,34.2697,52.0,131.0,0.48,67.3826
35.7688,42.0,96.1248,4.68344,34.2697,53.0,131.0,0.48,67.3764
35.9655,42.0,96.1248,4.68344,34.2697,54.0,135.0,0.46799999999999997,67.3694
36.1572,50.0,119.469,4.68302,34.1896,54.0,136.0,0.46799999999999997,67.3574
36.3488,50.0,119.469,4.68302,34.1896,56.0,139.0,0.48,67.3489
36.5404,50.0,119.469,4.68302,34.1896,57.0,141.0,0.48,67.3371
36.7322,50.0,119.469,4.68302,34.1896,59.0,146.0,0.46799999999999997,67.3314
36.9241,50.0,119.469,4.68302,34.1896,60.0,150.0,0.48,67.3223
37.0477,57.0,138.181,4.6833800000000005,34.084,50.0,151.0,0.3,67.3219
37.2571,57.0,138.181,4.6833800000000005,34.084,45.0,127.0,1.0456,67.4701
37.4487,57.0,138.181,4.6833800000000005,34.084,47.0,116.0,0.48,67.4568
37.6454,57.0,138.181,4.6833800000000005,34.084,50.0,120.0,0.48,67.4448
37.836999999999996,57.0,138.181,4.6833800000000005,34.084,52.0,126.0,0.46799999999999997,67.4386
38.0287,33.0,78.7488,4.67137,34.0671,54.0,131.0,0.48,67.4292
38.2203,33.0,78.7488,4.67137,34.0671,55.0,136.0,0.48,67.4184
38.412,33.0,78.7488,4.67137,34.0671,56.0,140.0,0.46799999999999997,67.4116
38.6037,33.0,78.7488,4.67137,34.0671,58.0,144.0,0.48,67.4026
38.8,33.0,78.7488,4.67137,34.0671,59.0,146.0,0.48,67.392
38.9923,33.0,78.7488,4.67137,34.0671,59.0,150.0,0.48,67.3876
39.1843,43.0,101.162,4.6833,34.0065,60.0,151.0,0.48,67.3812
39.3325,43.0,101.162,4.6833,34.0065,52.0,151.0,0.37200000000000005,67.3784
39.4812,43.0,101.162,4.6833,34.0065,42.0,141.0,0.0,67.3784
39.7035,43.0,101.162,4.6833,34.0065,45.0,118.0,0.48,67.4998
39.9,43.0,101.162,4.6833,34.0065,46.0,115.0,0.48,67.4891
40.0918,51.0,120.605,4.68314,33.9262,47.0,119.0,0.48,67.4845
40.2835,51.0,120.605,4.68314,33.9262,48.0,121.0,0.48,67.4777
40.4751,51.0,120.605,4.68314,33.9262,49.0,125.0,0.46799999999999997,67.471
40.6668,51.0,120.605,4.68314,33.9262,50.0,126.0,0.48,67.4583
40.8584,51.0,120.605,4.68314,33.9262,50.0,126.0,0.48,67.4518
41.0501,58.0,139.178,4.68332,33.8592,51.0,129.0,0.46799999999999997,67.4461
41.2417,58.0,139.178,4.68332,33.8592,51.0,131.0,0.48,67.433
41.4333,58.0,139.178,4.68332,33.8592,51.0,131.0,0.48,67.4275
41.625,58.0,139.178,4.68332,33.8592,51.0,131.0,0.46799999999999997,67.4212
41.8166,58.0,139.178,4.68332,33.8592,51.0,131.0,0.48,67.4092
42.0083,36.0,85.072,4.68294,33.8276,51.0,131.0,0.48,67.4031
42.2,36.0,85.072,4.68294,33.8276,51.0,131.0,0.46799999999999997,67.3971
42.3966,36.0,85.072,4.68294,33.8276,51.0,131.0,0.48,67.3894
42.5882,36.0,85.072,4.68294,33.8276,51.0,131.0,0.46799999999999997,67.3835
42.7799,36.0,85.072,4.68294,33.8276,51.0,131.0,0.46799999999999997,67.3777
42.9766,36.0,85.072,4.68294,33.8276,51.0,131.0,0.48,67.3662
43.1682,45.0,105.906,4.68366,33.7739,51.0,131.0,0.48,67.3605
43.3598,45.0,105.906,4.68366,33.7739,51.0,131.0,0.46799999999999997,67.3556
43.5515,45.0,105.906,4.68366,33.7739,51.0,131.0,0.48,67.3437
43.7431,45.0,105.906,4.68366,33.7739,52.0,131.0,0.48,67.3382
43.9348,45.0,105.906,4.68366,33.7739,52.0,131.0,0.46799999999999997,67.3335
44.1264,53.0,125.602,4.68317,33.7186,53.0,133.0,0.48,67.3219
44.318000000000005,53.0,125.602,4.68317,33.7186,54.0,136.0,0.48,67.3172
44.5097,53.0,125.602,4.68317,33.7186,55.0,136.0,0.46799999999999997,67.312
44.7013,53.0,125.602,4.68317,33.7186,56.0,141.0,0.48,67.3013
44.8981,53.0,125.602,4.68317,33.7186,58.0,144.0,0.46799999999999997,67.2998
45.0897,29.0,140.56,4.45223,33.686,60.0,146.0,0.48,67.2926
45.2515,29.0,140.56,4.45223,33.686,55.0,151.0,0.48,67.2842
45.3873,29.0,140.56,4.45223,33.686,42.0,150.0,0.048,67.2874
45.6096,29.0,140.56,4.45223,33.686,46.0,128.0,0.46799999999999997,67.4001
45.8012,29.0,140.56,4.45223,33.686,49.0,119.0,0.48,67.3893
45.9979,29.0,140.56,4.45223,33.686,51.0,125.0,0.46799999999999997,67.3876
46.1896,39.0,91.13600000000001,4.913880000000001,33.746,53.0,130.0,0.48,67.3802
46.3812,39.0,91.13600000000001,4.913880000000001,33.746,54.0,135.0,0.48,67.3716
46.5728,39.0,91.13600000000001,4.913880000000001,33.746,56.0,139.0,0.46799999999999997,67.3663
46.7645,39.0,91.13600000000001,4.913880000000001,33.746,57.0,141.0,0.48,67.3591
46.9561,39.0,91.13600000000001,4.913880000000001,33.746,58.0,146.0,0.48,67.3508
47.148,48.0,113.291,4.68306,33.672,59.0,146.0,0.46799999999999997,67.3457
47.3398,48.0,113.291,4.68306,33.672,60.0,151.0,0.46799999999999997,67.3412
47.5368,48.0,113.291,4.68306,33.672,58.0,151.0,0.48,67.3305
47.6346,48.0,113.291,4.68306,33.672,45.0,151.0,0.10800000000000001,67.3352
47.8698,48.0,113.291,4.68306,33.672,44.0,141.0,0.30144,67.4399
48.0611,55.0,131.846,4.68337,33.6172,46.0,114.0,0.48,67.4314
48.2527,55.0,131.846,4.68337,33.6172,47.0,115.0,0.46799999999999997,67.426
48.4444,55.0,131.846,4.68337,33.6172,48.0,120.0,0.48,67.4188
48.636,55.0,131.846,4.68337,33.6172,49.0,121.0,0.48,67.4105
48.8276,55.0,131.846,4.68337,33.6172,50.0,125.0,0.46799999999999997,67.4053
49.0193,31.0,72.8432,4.6831,33.5969,50.0,126.0,0.48,67.3989
49.216,31.0,72.8432,4.6831,33.5969,51.0,126.0,0.48,67.3902
49.4076,31.0,72.8432,4.6831,33.5969,51.0,130.0,0.48,67.3857
49.6,31.0,72.8432,4.6831,33.5969,51.0,131.0,0.46799999999999997,67.3808
49.7959,31.0,72.8432,4.6831,33.5969,51.0,131.0,0.48,67.3737
49.9876,31.0,72.8432,4.6831,33.5969,51.0,131.0,0.46799999999999997,67.3694
50.1792,42.0,97.3616,4.67146,33.5427,51.0,131.0,0.48,67.3627
50.3709,42.0,97.3616,4.67146,33.5427,51.0,131.0,0.48,67.3543
50.5625,42.0,97.3616,4.67146,33.5427,51.0,131.0,0.46799999999999997,67.3502
50.7542,42.0,97.3616,4.67146,33.5427,51.0,131.0,0.48,67.3436
50.9458,42.0,97.3616,4.67146,33.5427,51.0,131.0,0.48,67.336
51.1374,50.0,120.92299999999999,4.6835,33.5038,51.0,131.0,0.46799999999999997,67.3314
51.3291,50.0,120.92299999999999,4.6835,33.5038,51.0,131.0,0.48,67.325
51.5207,50.0,120.92299999999999,4.6835,33.5038,51.0,131.0,0.48,67.3176
51.7124,50.0,120.92299999999999,4.6835,33.5038,51.0,131.0,0.46799999999999997,67.3131
